RA,Turma,Nome,Ano_Nascimento,Idade,Gênero,Ano ingresso,Instituição de ensino,Pedra,INDE,Cg,Cf,Ct,Numero_Avaliacoes,Rec Av1,Rec Av2,Rec Av3,Rec Av4,IAA,IEG,IPS,Rec Psicologia,IDA,Indicado,Atingiu PV,IPV,IAN,Defasagem,Destaque IEG,Destaque IDA,Destaque IPV,Ano_Coleta_Dados
RA-35,A,Aluno-35,2005,17,Menina,2019,Rede Decisão,Topázio,"8,965","5,000",1,1,4,Promovido de Fase,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,"10,0","9,6","9,4",Sem limitações,"8,5",Não,Sim,"10,000","5,000",-1,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022
RA-36,A,Aluno-36,2005,17,Menina,2019,Rede Decisão,Ametista,"7,876","177,000",7,7,4,Promovido de Fase,Promovido de Fase + Bolsa,Mantido na Fase + Bolsa,Promovido de Fase + Bolsa,"9,2","9,0","6,9",Sem limitações,"6,8",Não,Sim,"8,944","5,000",-1,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022
RA-37,A,Aluno-37,2005,17,Menina,2019,Rede Decisão,Quartzo,"4,950","825,000",18,18,4,Promovido de Fase,Mantido na Fase atual,Mantido na Fase + Bolsa,Promovido de Fase,"0,0","5,4","5,0",Sem limitações,"5,9",Não,Não,"5,222","5,000",-1,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022
RA-38,A,Aluno-38,2005,17,Menina,2017,Rede Decisão,Topázio,"8,523","31,000",4,4,4,Promovido de Fase,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,"9,2","8,9","7,5",Não indicado,"8,6",Não,Sim,"9,833","5,000",-1,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022
RA-39,A,Aluno-39,2006,16,Menina,2017,Rede Decisão,Ágata,"6,033","722,000",15,15,4,Promovido de Fase,Mantido na Fase atual,Promovido de Fase,Promovido de Fase,"0,0","4,8","6,9",Requer avaliação,"6,9",Não,Não,"6,111","10,000",0,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022
RA-40,A,Aluno-40,2006,16,Menina,2016,Rede Decisão,Ametista,"7,203","429,000",27,3,3,Promovido de Fase,Mantido na Fase atual,Promovido de Fase + Bolsa,,"7,9","7,8","7,5",Sem limitações,"6,8",Não,Não,"7,750","5,000",-1,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022
RA-41,A,Aluno-41,2005,17,Menino,2018,Escola Pública,Quartzo,"5,581","777,000",51,9,3,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,,"9,2","6,1","5,0",Requer avaliação,"5,6",Não,Não,"4,375","5,000",-2,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022
RA-42,A,Aluno-42,2007,15,Menino,2019,Rede Decisão,Ágata,"6,720","582,000",33,5,3,Mantido na Fase atual,Mantido na Fase atual,Promovido de Fase,,"8,3","7,9","5,6",Requer avaliação,"4,8",Não,Não,"6,083","10,000",0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022
RA-43,A,Aluno-43,2006,16,Menina,2019,Escola Pública,Quartzo,"5,486","791,000",54,11,3,Mantido na Fase atual,Mantido na Fase atual,Alocado em Fase anterior,,"6,3","6,5","5,6",Requer avaliação,"4,3",Não,Não,"5,958","5,000",-1,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022
RA-44,A,Aluno-44,2005,17,Menina,2021,Escola Pública,Quartzo,"5,542","785,000",52,10,3,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase + Bolsa,,"5,0","5,9","7,5",Sem limitações,"3,0",Sim,Não,"7,292","5,000",-2,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022
RA-45,A,Aluno-45,2007,15,Menina,2019,Rede Decisão,Ametista,"7,591","277,000",17,2,3,Promovido de Fase,Mantido na Fase atual,Promovido de Fase + Bolsa,,"7,9","8,9","5,6",Requer avaliação,"6,8",Não,Não,"7,417","10,000",0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022
RA-46,A,Aluno-46,2005,17,Menina,2022,Escola Pública,Ágata,"6,048","719,000",46,7,3,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,,"8,8","8,4","6,3",Sem limitações,"2,1",Não,Não,"7,083","5,000",-2,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022
RA-47,A,Aluno-47,2005,17,Menina,2022,Escola Pública,Quartzo,"5,677","762,000",49,8,3,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,,"7,9","6,3","7,5",Sem limitações,"2,1",Não,Não,"7,042","5,000",-2,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022
RA-48,A,Aluno-48,2007,15,Menina,2017,Rede Decisão,Ametista,"8,006","140,000",10,1,3,Promovido de Fase,Mantido na Fase atual,Promovido de Fase + Bolsa,,"6,7","8,4","7,5",Sem limitações,"8,1",Não,Sim,"8,500","10,000",0,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022
RA-49,A,Aluno-49,2005,17,Menina,2022,Escola Pública,Ágata,"6,304","687,000",42,6,3,Mantido na Fase atual,Mantido na Fase atual,Promovido de Fase,,"7,5","7,4","7,5",Sem limitações,"3,9",Não,Não,"7,042","5,000",-2,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022
RA-50,A,Aluno-50,2004,18,Menina,2022,Escola Pública,Ametista,"7,138","445,000",28,4,3,Promovido de Fase,Mantido na Fase atual,Promovido de Fase,,"7,5","8,4","7,5",Sem limitações,"7,8",Não,Não,"7,542","2,500",-3,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022
RA-51,B,Aluno-51,2005,17,Menina,2022,Escola Pública,Ágata,"6,488","645,000",39,13,3,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,,"8,8","7,6","7,5",Não atendido,"5,0",Não,Não,"6,500","5,000",-2,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022
RA-52,B,Aluno-52,2009,13,Menino,2018,Rede Decisão,Ametista,"7,861","183,000",12,5,3,Promovido de Fase,Mantido na Fase atual,Promovido de Fase + Bolsa,,"9,6","8,9","7,5",Não atendido,"6,2",Não,Não,"7,500","10,000",2,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022
RA-53,B,Aluno-53,2005,17,Menino,2022,Escola Pública,Ágata,"6,725","579,000",32,11,3,Promovido de Fase,Mantido na Fase atual,Alocado em Fase anterior,,"9,2","7,0","7,5",Não atendido,"7,0",Não,Não,"6,458","5,000",-2,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022
RA-54,B,Aluno-54,2006,16,Menina,2022,Escola Pública,Ágata,"6,058","716,000",45,14,3,Mantido na Fase atual,Mantido na Fase atual,Alocado em Fase anterior,,"7,9","6,9","7,5",Não atendido,"4,8",Não,Não,"6,125","5,000",-1,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022
RA-55,B,Aluno-55,2006,16,Menina,2017,Escola Pública,Ágata,"6,576","634,000",38,12,3,Promovido de Fase,Mantido na Fase atual,Promovido de Fase,,"7,1","7,6","5,6",Requer avaliação,"7,5",Não,Não,"6,500","5,000",-1,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022
RA-56,B,Aluno-56,2007,15,Menina,2019,Rede Decisão,Topázio,"8,404","46,000",7,1,3,Mantido na Fase atual,Mantido na Fase atual,Promovido de Fase + Bolsa,,"10,0","10,0","7,5",Sem limitações,"7,0",Não,Não,"8,250","10,000",0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022
RA-57,B,Aluno-57,2006,16,Menino,2017,Rede Decisão,Ametista,"7,305","388,000",25,10,3,Promovido de Fase + Bolsa,Mantido na Fase atual,Mantido na Fase + Bolsa,,"7,1","8,1","5,6",Requer avaliação,"8,4",Não,Não,"7,875","5,000",-1,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022
RA-58,B,Aluno-58,2007,15,Menino,2017,Rede Decisão,Topázio,"8,136","103,000",9,3,3,Promovido de Fase,Mantido na Fase atual,Promovido de Fase + Bolsa,,"9,6","9,2","6,3",Sem limitações,"7,2",Não,Não,"8,125","10,000",0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022
RA-59,B,Aluno-59,2005,17,Menino,2022,Escola Pública,Ametista,"7,642","257,000",15,7,3,Promovido de Fase,Mantido na Fase atual,Mantido na Fase atual,,"9,2","9,3","7,5",Não atendido,"7,2",Não,Não,"7,917","5,000",-2,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022
RA-60,B,Aluno-60,2004,18,Menina,2021,Escola Pública,Quartzo,"5,537","787,000",53,16,3,Promovido de Fase,Mantido na Fase atual,Alocado em Fase anterior,,"6,7","6,0","7,5",Não atendido,"4,9",Não,Não,"6,167","2,500",-3,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022
RA-61,B,Aluno-61,2007,15,Menino,2021,Escola Pública,Ametista,"7,533","298,000",20,8,3,Mantido na Fase atual,Mantido na Fase atual,Promovido de Fase + Bolsa,,"9,2","7,4","7,5",Não atendido,"5,8",Sim,Não,"7,875","10,000",0,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022
